Date | Time | Message Type | First Two Words | Elapsed Time | Unique ID
2023-09-28 | 18:22:20.930 | [DBG] | Competition synchronization | 00:00:00.4371632 | batchy
2023-09-28 | 18:22:21.426 | [DBG] | Competition synchronization | 00:00:00.4962060 | batchy
2023-09-28 | 18:22:21.864 | [DBG] | Competition synchronization | 00:00:00.4369990 | batchy
2023-09-28 | 18:22:22.368 | [DBG] | Competition synchronization | 00:00:00.5030434 | batchy
2023-09-28 | 18:22:22.834 | [DBG] | Competition synchronization | 00:00:00.4650798 | batchy
2023-09-28 | 18:22:23.443 | [DBG] | Competition synchronization | 00:00:00.6087155 | batchy
2023-09-28 | 18:22:23.895 | [DBG] | Competition synchronization | 00:00:00.4525033 | batchy
2023-09-28 | 18:22:24.014 | [DBG] | Command finished | 00:00:00.9180525 | batchy
2023-09-28 | 18:22:24.396 | [DBG] | Competition synchronization | 00:00:00.5006625 | batchy
2023-09-28 | 18:22:24.561 | [DBG] | GWS Request | 00:00:00.0030002 | batchy
2023-09-28 | 18:22:24.799 | [DBG] | GWS Request | 00:00:00.2380136 | batchy
2023-09-28 | 18:22:24.802 | [DBG] | Competition synchronization | 00:00:00.4055171 | batchy
2023-09-28 | 18:22:24.902 | [DBG] | Command finished | 00:00:00.9380536 | batchy
2023-09-28 | 18:22:25.048 | [DBG] | GWS Request | 00:00:00.2490143 | batchy
2023-09-28 | 18:22:25.333 | [DBG] | Competition synchronization | 00:00:00.5307473 | batchy
2023-09-28 | 18:22:25.864 | [DBG] | Competition synchronization | 00:00:00.5307294 | batchy
2023-09-28 | 18:22:25.925 | [DBG] | Command finished | 00:00:00.8440483 | batchy
2023-09-28 | 18:22:26.334 | [DBG] | Competition synchronization | 00:00:00.4689614 | batchy
2023-09-28 | 18:22:26.865 | [DBG] | Competition synchronization | 00:00:00.5305334 | batchy
2023-09-28 | 18:22:27.396 | [DBG] | Competition synchronization | 00:00:00.5308136 | batchy
2023-09-28 | 18:22:27.896 | [DBG] | Competition synchronization | 00:00:00.4996583 | batchy
2023-09-28 | 18:22:28.739 | [DBG] | Competition synchronization | 00:00:00.8435180 | batchy
2023-09-28 | 18:22:29.177 | [DBG] | Competition synchronization | 00:00:00.4371499 | batchy
2023-09-28 | 18:22:29.649 | [DBG] | Competition synchronization | 00:00:00.4717712 | batchy
2023-09-28 | 18:22:30.083 | [DBG] | Competition synchronization | 00:00:00.4340830 | batchy
2023-09-28 | 18:22:30.620 | [DBG] | Competition synchronization | 00:00:00.5360226 | batchy
2023-09-28 | 18:22:31.088 | [DBG] | Competition synchronization | 00:00:00.4674452 | batchy
2023-09-28 | 18:22:31.583 | [DBG] | Competition synchronization | 00:00:00.4952966 | batchy
2023-09-28 | 18:22:31.664 | [DBG] | Command finished | 00:00:00.0270016 | batchy
2023-09-28 | 18:22:32.083 | [DBG] | Competition synchronization | 00:00:00.4996150 | batchy
2023-09-28 | 18:22:32.614 | [DBG] | Competition synchronization | 00:00:00.5307484 | batchy
2023-09-28 | 18:22:33.177 | [DBG] | Competition synchronization | 00:00:00.5622167 | batchy
2023-09-28 | 18:22:33.677 | [DBG] | Competition synchronization | 00:00:00.4997565 | batchy
2023-09-28 | 18:22:34.146 | [DBG] | Competition synchronization | 00:00:00.4683030 | batchy
2023-09-28 | 18:22:34.650 | [DBG] | Competition synchronization | 00:00:00.5036616 | batchy
2023-09-28 | 18:22:35.084 | [DBG] | Competition synchronization | 00:00:00.4337758 | batchy
2023-09-28 | 18:22:35.524 | [DBG] | Competition synchronization | 00:00:00.4399950 | batchy
